Name in BikeCAD Files,Name in BIKED,Relevant Portion of Bike,Include in Sim Engine,,
Teeth on cog 8,Teeth on cog 8,,,,
Teeth on cog 9,Teeth on cog 9,,,,
MOUNT_TYPE,Derailleur Mount type,,,,
Pedal width,Pedal W,,,,
Teeth on cog 10,Teeth on cog 10,,,,
Teeth on chainring 0,Teeth on chainring 0,,,,
Teeth on chainring 1,Teeth on chainring 1,,,,
Teeth on chainring 2,Teeth on chainring 2,,,,
CassZ,Sprockets Z,,,,
CassT,Sprockets T,,,,
CassA,Sprockets A,,,,
BRAZEonFDTYPE,Braze on front derailleur type,,,,
Teeth on cog 11,Teeth on cog 11,,,,
DIRECTMOUNTFDTYPE,Direct mount front derailleur type,,,,
CLAMPFDTYPE,Clamped front derailleur type,,,,
,,,,,
spc type,seatpost clamp type,,,,
,,,,,
DERAILLEUR_HANGER,Derailleur Hanger?,dropouts,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,brakes,,,
